A coordinates,B coordinates,average coordinates
"(113, 108)","(112, 107)"
"(113, 220)","(112, 220)"
"(113, 334)","(112, 333)"
"(113, 446)","(112, 446)"
"(113, 561)","(112, 673)"
"(113, 787)","(112, 786)"
"(113, 899)","(112, 899)"
"(114, 672)","(113, 560)"
"(116, 560)","(119, 560)"
"(226, 108)","(226, 107)"
"(227, 221)","(226, 220)"
"(227, 334)","(226, 333)"
"(227, 447)","(226, 446)"
"(227, 560)","(226, 560)"
"(227, 674)","(226, 673)"
"(227, 787)","(226, 786)"
"(227, 900)","(226, 899)"
"(227, 1012)","(226, 1012)"
"(230, 560)","(339, 107)"
"(335, 560)","(339, 220)"
"(338, 560)","(339, 333)"
"(340, 108)","(339, 446)"
"(340, 221)","(339, 457)"
"(340, 334)","(339, 468)"
"(340, 447)","(339, 480)"
"(340, 469)","(339, 491)"
"(340, 480)","(339, 503)"
"(340, 492)","(339, 514)"
"(340, 503)","(339, 526)"
"(340, 526)","(339, 536)"
"(340, 537)","(339, 549)"
"(340, 549)","(339, 559)"
"(340, 674)","(339, 673)"
"(340, 787)","(339, 786)"
"(340, 900)","(339, 899)"
"(341, 458)","(339, 1012)"
"(341, 514)","(350, 457)"
"(343, 549)","(350, 480)"
"(347, 549)","(350, 491)"
"(349, 458)","(350, 502)"
"(349, 482)","(350, 537)"
"(349, 490)","(350, 548)"
"(351, 447)","(350, 560)"
"(351, 503)","(351, 446)"
"(351, 539)","(351, 469)"
"(351, 549)","(351, 519)"
"(352, 479)","(361, 446)"
"(352, 493)","(361, 468)"
"(352, 559)","(361, 480)"
"(359, 560)","(361, 491)"
"(362, 447)","(361, 514)"
"(362, 469)","(361, 536)"
"(362, 492)","(362, 458)"
"(362, 515)","(362, 503)"
"(362, 537)","(362, 526)"
"(363, 549)","(362, 548)"
"(368, 458)","(362, 559)"
"(373, 447)","(372, 457)"
"(373, 458)","(373, 446)"
"(373, 469)","(373, 468)"
"(373, 487)","(373, 480)"
"(373, 492)","(373, 491)"
"(373, 549)","(373, 502)"
"(374, 481)","(373, 514)"
"(374, 503)","(373, 525)"
"(374, 526)","(373, 537)"
"(374, 537)","(373, 548)"
"(374, 559)","(373, 559)"
"(377, 560)","(384, 446)"
"(383, 559)","(384, 458)"
"(384, 457)","(384, 468)"
"(385, 447)","(384, 480)"
"(385, 461)","(384, 491)"
"(385, 468)","(384, 503)"
"(385, 480)","(384, 526)"
"(385, 492)","(384, 536)"
"(385, 503)","(384, 549)"
"(385, 511)","(384, 560)"
"(385, 526)","(385, 514)"
"(385, 537)","(395, 457)"
"(385, 549)","(395, 502)"
"(388, 458)","(395, 525)"
"(392, 458)","(395, 548)"
"(392, 549)","(395, 559)"
"(395, 549)","(396, 446)"
"(396, 447)","(396, 469)"
"(396, 458)","(396, 480)"
"(396, 503)","(396, 492)"
"(396, 515)","(396, 514)"
"(396, 526)","(396, 537)"
"(396, 559)","(401, 560)"
"(396, 560)","(406, 446)"
"(397, 480)","(406, 468)"
"(399, 560)","(406, 480)"
"(405, 480)","(406, 491)"
"(407, 458)","(406, 514)"
"(407, 469)","(406, 536)"
"(407, 492)","(407, 457)"
"(407, 515)","(407, 503)"
"(407, 537)","(407, 526)"
"(408, 448)","(407, 549)"
"(415, 549)","(407, 560)"
"(417, 490)","(418, 446)"
"(418, 481)","(418, 457)"
"(418, 549)","(418, 469)"
"(419, 448)","(418, 480)"
"(419, 469)","(418, 492)"
"(419, 496)","(418, 502)"
"(419, 503)","(418, 514)"
"(419, 526)","(418, 525)"
"(419, 537)","(418, 537)"
"(419, 559)","(418, 548)"
"(423, 560)","(418, 559)"
"(426, 560)","(429, 446)"
"(428, 480)","(429, 468)"
"(430, 447)","(429, 480)"
"(430, 458)","(429, 491)"
"(430, 469)","(429, 514)"
"(430, 492)","(429, 536)"
"(430, 515)","(429, 559)"
"(430, 537)","(430, 457)"
"(430, 559)","(430, 503)"
"(440, 458)","(430, 526)"
"(440, 481)","(430, 549)"
"(440, 504)","(440, 457)"
"(440, 527)","(440, 468)"
"(440, 550)","(440, 480)"
"(444, 561)","(440, 491)"
"(446, 560)","(440, 503)"
"(448, 561)","(440, 514)"
"(452, 108)","(440, 526)"
"(452, 560)","(440, 536)"
"(453, 221)","(440, 549)"
"(453, 334)","(441, 559)"
"(453, 447)","(452, 107)"
"(453, 674)","(452, 220)"
"(453, 787)","(452, 333)"
"(453, 900)","(452, 446)"
"(453, 1012)","(452, 559)"
"(562, 560)","(452, 673)"
"(565, 560)","(452, 786)"
"(566, 108)","(452, 899)"
"(566, 220)","(452, 1012)"
"(566, 334)","(560, 560)"
"(566, 447)","(565, 107)"
"(566, 674)","(565, 220)"
"(566, 787)","(565, 333)"
"(566, 900)","(565, 446)"
"(677, 560)","(565, 559)"
"(679, 108)","(565, 673)"
"(679, 334)","(565, 786)"
"(679, 787)","(565, 899)"
